Year,Country,Pais_Lat_Long,Sex,Fatal (Y/N),href formula
1958,PAPUA NEW GUINEA,"-5.6816069,144.2489081",M,N,http://sharkattackfile.net/spreadsheets/pdf_directory/1958.04.00-Nasigilatu.pdf
1958,AUSTRALIA,"-24.7761086,134.755",M,NO INF,http://sharkattackfile.net/spreadsheets/pdf_directory/1958.02.19-Blair.pdf
1958,USA,"39.7837304,-100.445882",M,N,http://sharkattackfile.net/spreadsheets/pdf_directory/1958.02.01-Gerringer.pdf
1958,AUSTRALIA,"-24.7761086,134.755",M,N,http://sharkattackfile.net/spreadsheets/pdf_directory/1958.01.27-Kerwand.pdf
1958,AUSTRALIA,"-24.7761086,134.755",M,N,http://sharkattackfile.net/spreadsheets/pdf_directory/1958.01.19-Henderson.pdf
1958,JAPAN,"36.5748441,139.2394179",M,NO INF,http://sharkattackfile.net/spreadsheets/pdf_directory/1958.01.09.R-Japan.pdf
1958,SOUTH AFRICA,"-28.8166236,24.991639",M,Y,http://sharkattackfile.net/spreadsheets/pdf_directory/1958.01.09-Prinsloo.pdf
1958,TONGA,"-19.9160819,-175.202642",M,N,http://sharkattackfile.net/spreadsheets/pdf_directory/1958.00.00.j-Tonga.pdf
1958,SAMOA,"-13.7693895,-172.12005",NO INF,N,http://sharkattackfile.net/spreadsheets/pdf_directory/1958.00.00.i-Otiai.pdf
1958,PANAMA,"8.559559,-81.1308434",M,N,http://sharkattackfile.net/spreadsheets/pdf_directory/1958.00.00.h-Panama.pdf
1958,PAPUA NEW GUINEA,"-5.6816069,144.2489081",NO INF,Y,http://sharkattackfile.net/spreadsheets/pdf_directory/1958.00.00.f-BrookerIsland.pdf
1958,PAPUA NEW GUINEA,"-5.6816069,144.2489081",M,Y,http://sharkattackfile.net/spreadsheets/pdf_directory/1958.00.00.e-Bulu.pdf
1958,PAPUA NEW GUINEA,"-5.6816069,144.2489081",M,Y,http://sharkattackfile.net/spreadsheets/pdf_directory/1958.00.00.d-Kombe.pdf
1958,PAPUA NEW GUINEA,"-5.6816069,144.2489081",M,N,http://sharkattackfile.net/spreadsheets/pdf_directory/1958.00.00.c-Korem.pdf
1958,SOUTH AFRICA,"-28.8166236,24.991639",NO INF,N,http://sharkattackfile.net/spreadsheets/pdf_directory/1958.00.00.b-PlettenburgBay.pdf
1958,SOUTH AFRICA,"-28.8166236,24.991639",M,Y,http://sharkattackfile.net/spreadsheets/pdf_directory/1958.00.00.a-KakatanaRiver.pdf
1957,AUSTRALIA,"-24.7761086,134.755",M,N,http://sharkattackfile.net/spreadsheets/pdf_directory/1957.12.31-Evans.pdf
1957,SOUTH AFRICA,"-28.8166236,24.991639",F,N,http://sharkattackfile.net/spreadsheets/pdf_directory/1957.12.30-Painting.pdf
1957,SOUTH AFRICA,"-28.8166236,24.991639",M,N,http://sharkattackfile.net/spreadsheets/pdf_directory/1957.12.26-Webster.pdf
1957,SOUTH AFRICA,"-28.8166236,24.991639",M,Y,http://sharkattackfile.net/spreadsheets/pdf_directory/1957.12.23-Berry.pdf
1957,SOUTH AFRICA,"-28.8166236,24.991639",M,Y,http://sharkattackfile.net/spreadsheets/pdf_directory/1957.12.20-Green.pdf
1957,SOUTH AFRICA,"-28.8166236,24.991639",M,N,http://sharkattackfile.net/spreadsheets/pdf_directory/1957.12.18-Wherley.pdf
1957,HIGH SEAS,"29.870151,-93.922369",NO INF,N,http://sharkattackfile.net/spreadsheets/pdf_directory/1957.11.08-Stratocruiser.pdf
1957,AUSTRALIA,"-24.7761086,134.755",NO INF,N,http://sharkattackfile.net/spreadsheets/pdf_directory/1957.11.04.R-Fishing-launch.pdf
1957,SOLOMON ISLANDS,"-8.7053941,159.1070693851845",M,Y,http://sharkattackfile.net/spreadsheets/pdf_directory/1957.10.24-Keia.pdf
1957,SOLOMON ISLANDS,"-8.7053941,159.1070693851845",F,Y,http://sharkattackfile.net/spreadsheets/pdf_directory/1957.10.23-Melanesian-woman.pdf
1957,MARSHALL ISLANDS,"8.9995549,168.0002575",M,N,http://sharkattackfile.net/spreadsheets/pdf_directory/1957.09.02-Huges.pdf
1957,USA,"39.7837304,-100.445882",M,N,http://sharkattackfile.net/spreadsheets/pdf_directory/1957.08.00-Case-Gray.pdf
1957,USA,"39.7837304,-100.445882",M,N,http://sharkattackfile.net/spreadsheets/pdf_directory/1957.07.24-Murray.pdf
1957,USA,"39.7837304,-100.445882",M,Y,http://sharkattackfile.net/spreadsheets/pdf_directory/1957.07.15-Rupert-Wade.pdf
1957,AUSTRALIA,"-24.7761086,134.755",M,N,http://sharkattackfile.net/spreadsheets/pdf_directory/1957.07.09-Kris.pdf
1957,CUBA,"23.0131338,-80.8328748",NO INF,NO INF,http://sharkattackfile.net/spreadsheets/pdf_directory/1957.06.21-Tropical.pdf
1957,AUSTRALIA,"-24.7761086,134.755",M,N,http://sharkattackfile.net/spreadsheets/pdf_directory/1957.05.11-Higgins.pdf
1957,SOLOMON ISLANDS,"-8.7053941,159.1070693851845",M,N,http://sharkattackfile.net/spreadsheets/pdf_directory/1957.05.07.R-Sevo.pdf
1957,USA,"39.7837304,-100.445882",M,N,http://sharkattackfile.net/spreadsheets/pdf_directory/1957.05.00-St-Marks.pdf
